sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
CC,C2C,C2C Advanced Systems Ltd,Information Technology,Software Services,681.28258495,412.5,23.622835816574195,21.047254150702436,3.447960853029,-11.670235546038544,2.73972602739726
PENL,PENINLAND,Peninsula Land Ltd,Real Estate,Real Estate,681.03803566,20.71,-18.9177232127778,-15.666818982962315,3.0771644481294045,-19.79085979860573,0.8767657087189464
GCS,GCSL,Gretex Corporate Services Ltd,Financials,Investment Banking & Brokerage,680.06276765,297.35,527.1804400387534,0.6431349087645902,2.702522522850103,-14.59141174780984,3.3362293657689044
SHIVC,SHIVACEM,Shiva Cement Ltd,Materials,Cement,679.09,22.33,-4.766547343300346,-313.49983496534287,3.912935753385193,-0.7919049714034303,-2.997393570807999
TOTE,TOTEM,Forbes Precision Tools and Machine Parts Ltd,Industrials,Industrial Machinery,678.72517392,135.0,23.61604641336117,18.90851672752393,4.082803019249278,-8.783783783783784,2.622576966932716
REGAA,REGAAL,Regaal Resources Ltd,Consumer Staples,FMCG - Foods,678.0775594600001,66.52,14.224408631424378,25.20755116070012,2.7845984126319254,-8.751714677640615,0.7726102105741416
CODE,COFFEEDAY,Coffee Day Enterprises Ltd,Consumer Discretionary,Restaurants & Cafes,676.6392559569999,32.34,-11.65614566678727,-1.9109789940448532,0.2296869079801895,-10.588885816975388,0.967842647517959
AHC,AHCL,Anlon Healthcare Ltd,Health Care,Pharmaceuticals,675.130353,128.97,32.917130814236955,40.43371118777723,8.395055371798058,-7.215827338129497,1.5351913084553637
KPOC,KOTHARIPET,Kothari Petrochemicals Ltd,Materials,Commodity Chemicals,673.3793552,116.64,10.230619191735025,23.817191655660313,2.1994360961588715,-4.977596741344196,1.931311718954814
PORR,VOITHPAPR,Voith Paper Fabrics India Ltd,Consumer Discretionary,Textiles,670.5680569399999,1560.0,16.814645359578723,10.880419065287978,1.7432294094678555,-6.645522276413032,2.1878684658718783
TEJAS,TEJASCARGO,Tejas Cargo India Ltd,Industrials,Logistics,669.7163052,266.75,35.00869342394146,16.73153452573577,3.866052676788084,-3.0,-4.834106314662865
ARRO,ARROWGREEN,Arrow Greentech Ltd,Materials,Packaging,668.69741216,444.05,10.592387330270872,39.604767879548305,3.518719280993475,-15.740037950664133,0.19178700361011344
VIRA,VIRAT,Virat Industries Ltd,Consumer Discretionary,Apparel & Accessories,667.78312722,479.95,733.8276123296702,3.4959661928543997,25.256547928139184,-5.679473322197118,4.382340147890382
GHC,GHCLTEXTIL,GHCL Textiles Ltd,Consumer Discretionary,Textiles,664.130041128,71.03,11.865821710344786,3.965088518458185,0.46204207734071717,-2.937961191582407,2.230857800805983
KSOL,KSOLVES,Ksolves India Ltd,Information Technology,IT Services & Consulting,663.57819,283.2,19.340664237831536,153.85650224215246,31.964267341040465,-1.8370883882149087,1.2332439678284142
EXH,EXHICON,Exhicon Events Media Solutions Ltd,Communication Services,Advertising,663.5566225,512.9,25.521408557692293,25.12320030920863,5.393453812078354,-6.74545454545455,1.7557781966074726
MANBA,MANBA,Manba Finance Ltd,Financials,Diversified Financials,663.05973318,133.57,17.536623464162936,13.278081157486247,1.7973969454594736,-4.776502459542323,1.2047279890892586
SAHAN,SAHANA,Sahana System Ltd,Information Technology,IT Services & Consulting,659.4247004800001,785.0,18.59629724985901,28.999018645731095,3.504409313280545,-18.14389989572471,5.199678370410071
ZFS,ZFSTEERING,Z F Steering Gear (India) Ltd,Consumer Discretionary,Auto Parts,657.81425,724.0,44.08942694369956,3.2207926776617004,1.404805556741981,-3.8895526350723424,-0.13793103448275862
SUY,SUYOG,Suyog Telematics Ltd,Industrials,Construction & Engineering,657.5061888,558.2,16.214702559802713,11.604281135531135,1.6417543229543807,-11.39682539682539,2.4126226951655982
EVRI,EVERESTIND,Everest Industries Ltd,Industrials,Building Products - Prefab Structures,656.90388822,415.15,-182.98158446239506,-0.6013299609721796,1.1010608072610248,-18.51015801354402,0.20516533912622878
ASAS,ASAL,Automotive Stampings and Assemblies Ltd,Consumer Discretionary,Auto Parts,654.7236641899999,414.0,39.041363398330354,2466.1764705882356,74.99698329782294,-15.120451050743208,0.314998788466201
TRANP,TRANSPEK,Transpek Industry Ltd,Materials,Commodity Chemicals,654.1259855899999,1171.0,13.423476002257315,6.869572572459691,0.8776444823565716,-2.7125825613758225,-0.008538980445727014
